Tag1,Tag2,Num_Occurrence
leela,openings,1
agricola,balance,2
custom-game-pieces,house-rules,2
shuffling,statistics,2
print-and-play,ticket-to-ride,1
magic-the-gathering,turn-order,1
board-game-geek,playing-cards,1
chess,end-game,2
priority,stack,3
openings,sheepshead,1
tactics,zombicide,1
recommendations,skill,1
american-megafauna,custom-game-pieces,1
puerto-rico,puerto-rico-expansion-2,4
game-system,icehouse,1
carcassonne-catapult,carcassonne-river,1
mahjong,terminology,1
catan,puerto-rico,1
monopoly,play-time,1
magic-duels,magic-the-gathering,7
puzzles,solitaire,1
kids,teaching,5
dominion,storage,2
house-rules,scrabble,1
tokaido,tokaido-crossroads,2
kids,recommendations,1
etiquette,handicap,1
go,tournament,1
identify-this-game,quarto,1
risk,tournament,1
computers,magic-the-gathering,1
domineering,go,1
arkham-horror,play-time,3
arkham-horror,arkham-horror-kingsport-horror,1
miniatures,modelling,1
backgammon,chess,1
house-rules,killer-bunnies,1
computer-ai,roll-through-the-ages,1
mtg-cube,storage,1
monopoly,recommendations,2
board-size,go,2
house-rules,mtg-drafting,1
balance,game-of-thrones,2
deck-building,metagame,1
playing-cards,prototyping,1
mechanics,republic-of-rome,1
monopoly,substitutes,1
dragon-ball-z-ccg,pricing,2
android-netrunner,netrunner-ccg,2
diplomacy,play-time,1
scrabble,words-with-friends,1
game-development,monopoly,1
dominion,statistics,2
puerto-rico,turn-order,2
custom-game-pieces,smash-up,1
alhambra,expansions,1
board-game-adaptations,king-of-tokyo,1
7-wonders-cities,7-wonders-leaders,3
all-fours,spades,1
house-rules,play-time,5
equilibrio,puzzles,1
dominion-alchemy,dominion-prosperity,5
call-of-cthulhu-lcg,star-wars-lcg,1
argent-mancers-university,argent-the-consortium,1
7-wonders-babel,7-wonders-leaders,2
ios,magic-the-gathering,1
psychology,recommendations,1
arkham-horror,openings,1
7-wonders,openings,1
house-rules,yu-gi-oh,2
shape,thickness,1
deck-building,magic-the-gathering,70
complexity,teaching,1
go,kgs,5
orks,space-orks,3
risk-legacy,two-player,1
identify-this-game,kids,1
dominion,play-time,2
computer-ai,history,1
game-development,magic-the-gathering,1
dungeonquest,house-rules,1
copyright,game-design,1
