Tag1,Tag2,Num_Occurrence
bet-sizing,texas-hold-em,2
hand-reading,texas-hold-em,4
pre-flop,tournament,2
all-in,heads-up,2
omaha,poker-theory,3
drawing,rules,1
betting-strategy,range,1
no-limit,poker-tools,1
cash-game,odds,1
cash-game,texas-hold-em,35
betting-strategy,pot-odds,4
nlhe,rules,13
casino,wsop,1
implied-odds,texas-hold-em,3
heads-up,rake,1
gaming-theory,tournament,1
hand-history,nlhe,36
all-in,books,1
casino,etiquette,2
bankroll,bankroll-management,2
sd,statistics,1
hand,rules,6
flush,pot-odds,1
cash-game,pocket-pair,2
betting-strategy,heads-up,3
books,sit-and-go,1
fold-equity,tournament,2
etiquette,tournament,2
starting-hand,texas-hold-em,6
casino,soft-question,1
range,software,2
blinds,etiquette,1
hand,starting-hand,1
betting-strategy,skill,1
betting-strategy,poker-theory,8
poker-tools,psychology,1
nl200,nlhe,12
cash-game,casino,4
nlhe,pocket-pair,2
raise,texas-hold-em,4
no-limit,sit-and-go,3
odds,strategy,2
all-in,online,2
hand,tournament,4
betting-strategy,odds,4
etiquette,nlhe,2
poker-theory,pokerstove,1
poker-tools,wsop,1
dealing,nlhe,1
betting-strategy,starting-hand,2
betting-position,texas-hold-em,10
starting-hand,tournament,1
casino,rules,2
books,let-there-be-range,1
odds,short-stack,1
online,rake,3
reading-hands,rush-poker,1
casino,strategy,1
poker-theory,strategy,6
live,nl400,1
short-stack,texas-hold-em,4
ev,gto,1
pot-odds,pre-flop,2
muck,showdown,1
betting-position,pocket-pair,2
hand,poker-theory,1
heads-up,tournament,2
cash-game,raise,1
casino,skill,2
balancing,texas-hold-em,2
cash-game,tournament,4
dead-mans-hand,poker-history,1
omaha,texas-hold-em,4
pre-flop,texas-hold-em,12
poker-strategy,range,1
pre-flop,raise,2
range,short-stack,1
betting-strategy,sit-and-go,1
no-limit,texas-hold-em,32
equity,odds,1
heads-up,nlhe,3
bankroll-management,statistics,1
online,pocket-pair,2
online,pokertracker,1
bubble,starting-hand,1
tax,wsop,1
all-in,blinds,1
odds,range,1
betting-strategy,pre-flop,7
microstakes,online,3
online,skill,3
online,open-face-chinese,1
angle-shoot,cheating,1
blinds,tournament,2
omaha,software,1
live,rules,14
kill,poker-strategy,1
all-in,nlhe,6
live,poker-strategy,1
strategy,tournament,9
casino,mtt,1
final-table,live,1
etiquette,online,1
prize-pool,tax,1
gto,heads-up,1
software,tournament,1
range,texas-hold-em,6
live,strategy,3
pre-flop,probability,6
betting-strategy,statistics,1
skill,statistics,2
ev,poker-theory,4
learning,poker-strategy,2
all-in,tournament,5
game-mechanics,online,1
betting-strategy,books,2
hand,pre-flop,1
probability,range,1
ev,learning,1
betting-strategy,pot-limit,1
home-game,no-limit,2
hand,wsop,1
dealing,texas-hold-em,6
