Tag1,Tag2,Num_Occurrence
sharing,twins,1
homework,pre-teen,2
toddler,video-games,2
bathing,emotional,1
adhd,education,4
moving,pre-teen,1
age-appropriate,divorce,1
coping,pre-schooler,1
attachment,father,1
shopping,toddler,1
lying,toddler,3
hair,lice,1
psychology,school,1
parents,relationships,21
play-time,primary-schooler,1
extended-family,separation,2
legal,school,2
daycare,separation,1
fears,video-games,1
age-appropriate,communication,5
behavior,eyes,1
toys,travel,1
jobs,university,1
pre-teen,single-parent,3
maturity,safety,1
abuse,adoption,1
anxiety,school,2
crying,daycare,9
anxiety,toddler,5
bilingual,cognitive-development,1
allergies,pre-schooler,1
activities,travel,2
moving,safety,1
allergies,colic,1
ear,urine,1
family,separation,1
motor-development,premature,1
presents,santa,2
autism,pets,1
primary-schooler,science,2
manners,travel,1
autism,potty-training,2
cleaning,clothes,1
research,siblings,1
homework,independence,2
divorce,potty-training,1
night-time,weaning,2
math,science,1
books,morals,2
divorce,step-parents,1
personality,relationships,1
behavior,teacher,1
anger,misbehavior,1
primary-schooler,teen,1
middle-childhood,reward,1
diabetes,health,1
conflict,parents,12
extended-family,parents,1
chores,development,1
reward,teaching,1
math,primary-schooler,2
birthday,personality,1
diabetes,pregnancy,1
crib,sleep-training,2
homework,language-development,1
homeschooling,time-management,1
immunizations,research,1
doctor,first-time,1
pre-schooler,urine,1
education,homeschooling,16
daycare,homeschooling,1
addiction,family,1
behavior,fine-motor-skills,1
birthday,siblings,1
money,sex,1
music,parents,2
co-parenting,first-time,1
growth,middle-childhood,1
friends,lgbtq,1
grandparents,parents,4
bilingual,teen,1
father,grandparents,2
stools,urine,2
bonding,breastfeeding,1
communication,driving,1
holidays,presents,3
development,habits,1
bottle-feeding,crying,1
education,religion,5
activities,friends,1
pregnancy,self-esteem,1
breastfeeding,parents,3
pre-schooler,travel,5
activities,computer,1
bilingual,primary-schooler,3
independence,teaching,3
bilingual,pre-schooler,10
insects,toddler,1
education,teething,1
behavior,water,1
emotional-well-being,movies,1
age-appropriate,presents,1
activities,crib,1
development,programming,1
single-parent,working-parents,2
safety,socialization,1
age-appropriate,video-games,4
cognitive-development,psychology,3
breastfeeding,milk,3
discipline,play,1
infant,weaning,10
peer-pressure,video-games,1
autism,gender,1
drinking,junkfood,1
food,tablet-computer,1
play-time,safety,1
etiquette,usa,1
moving,play,1
cooking,teaching,1
gifted,supervision,1
hyperactiveness,sleep-deprivation,1
age-appropriate,brushing-teeth,1
infant,working-parents,5
holidays,infant,1
cognitive-development,reading,1
age-appropriate,rules,1
behavior,parents,24
bedtime,primary-schooler,10
father,infant,3
diet,friends,1
toddler,transport,1
newborn,teething,2
infant,social-development,5
sleep-training,twins,1
bottle-feeding,weaning,1
education,safety,2
health,safety,13
research,social-media,1
infant,rules,1
internet,teaching,1
conflict,time-out,1
arts-and-crafts,play-time,1
health,mental-health,2
crawling,walking,1
development,movies,2
homework,relationships,1
mental-health,sleep,3
dating,family,2
social,social-development,2
aggression,misbehavior,1
drugs,infant,1
homeschooling,natural-consquences,1
psychology,sex,1
money,toddler,4
play-time,sleep,1
middle-childhood,parents,3
education,food,3
education,parents,8
adhd,emotional-well-being,1
bonding,custody,1
bedroom,newborn,2
primary-schooler,water,1
middle-childhood,vomiting,1
competitiveness,twins,1
relationships,video-games,1
babysitting,money,3
breastfeeding,teething,1
pacifier,sleep-training,1
baby,crib,1
death,teaching,1
activities,morals,1
discipline,personality,2
swimming,water,1
communication,development,4
health,teen,4
friends,separation,1
coping,encopresis,1
mother,school,1
pre-teen,self-esteem,1
asthma,teacher,1
books,fears,1
anxiety,socialization,1
gifted,middle-childhood,2
gadgets,infant,1
health,infant,56
night-time,working-parents,1
abuse,coping,1
growth,sickness,1
step-parents,twins,2
pre-teen,violence,4
birth,working-parents,1
education,special-needs,1
games,party,1
behavior,sensory,2
handwriting,health,1
fears,social-development,2
adoption,names,1
food,travel,4
homeschooling,motivation,1
morals,siblings,2
adoption,school,1
behavior,co-parenting,5
fears,rules,1
behavior,temper,2
friends,pre-teen,2
outdoor,primary-schooler,2
age-appropriate,bedtime,1
activities,etiquette,1
handwriting,pre-schooler,5
crawling,injury,1
infant,teeth,1
food,grandparents,1
pre-teen,reading,1
eating,pain,1
arts-and-crafts,primary-schooler,3
fears,phobias,1
divorce,sleep,1
health,walking,2
cosleeping,sleep-training,7
alcohol,teen,5
hygiene,teeth,1
abuse,mental-health,2
abuse,pregnancy,1
development,potty-training,2
bed-wetting,toddler,5
parents,pregnancy,5
pre-schooler,television,8
death,infant,1
fighting,teen,1
fighting,pre-schooler,2
moving,potty-training,1
depression,divorce,1
jealousy,twins,5
bedtime,working-parents,1
education,stay-at-home,1
relationships,self-esteem,1
bilingual,pre-teen,1
infant,pre-schooler,6
behavior,emotion,4
bilingual,reading,2
discipline,rules,5
relationships,sexual-consent,2
discipline,sleep-training,1
social,toddler,4
diaper,hygiene,3
gender-stereotypes,teaching,1
emotion,relationships,1
manners,teaching,4
first-time,working-parents,1
parents,speech,1
anxiety,emotion,2
playground,toddler,2
colic,ear,1
milk,weight,1
age-appropriate,anxiety,2
sleep,weight,1
play-time,travel,1
age-appropriate,safety,7
enuresis,pre-schooler,1
baby-led-weaning,infant,1
daycare,pre-teen,1
fears,travel,1
clothes,growth,1
cloth-diaper,stools,2
food,solids,2
baby,transport,1
breastmilk,colic,1
discipline,psychology,4
adult-child,safety,1
milk,newborn,2
autism,primary-schooler,1
attention,divorce,1
sickness,toddler,4
behavior,television,4
activities,learning,5
emotion,role-models,1
discipline,teacher,3
toddler,working-parents,3
language,speech,4
health,medicine,4
communication,mental-health,1
behavior,health,11
newborn,single-parent,1
childcare,politics,1
adult-child,education,3
adoption,teen,2
activities,entertainment,1
behavior,growth,1
